"Steueramt des Kantons Aargau";;;"Aargauische Gerichts- und Verwaltungsentscheide 1993";;;;0;689;Druckerzeugnis;0;Haupt-Bibliothek;"HB 219";Aarau;Sauerländer;1994;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Plattner Josef F.";"Blumenstein Irene";;"Gutachten über Änderung des kantonalen und eidgenössischen Steuerrechts im Hinblick auf Umwandlungen und Fusionen geschäftlicher Unternehmungen (Änderung der Rechtsform) und auf Holdingverhältnisse";;;;-;124;Druckerzeugnis;Gutachten;Haupt-Bibliothek;"PK 106";Zürich;Schulthess;1964;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-627)1077279566
"Meyer-Marsilius Hans-Joachim";"Hangarter Dieter";;"Doppelbesteuerungsabkommen Deutschland-Schweiz";"Bd. 7";;;0;0;Druckerzeugnis;"7 Bde.";Haupt-Bibliothek;"LD 115";;Handelskammer;1994;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;0;notfound
IFF;;;"St.Galler Seminar 2001 über Unternehmensbesteuerung";29./30.8.2001;;;-;;Druckerzeugnis;Kursdokumentation;Haupt-Bibliothek;"PE 0136 17 2";"St. Gallen";IFF;2001;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;notfound
"König Werner";"Lenz Walter";;"Taschenlexikon steuerrechtlicher Entscheidungen (TStE)";;;;"3 503 02965 6";1266;Druckerzeugnis;"12. A.";Haupt-Bibliothek;"KB 410 1";Köln;"Erich Schmidt";1991;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)164298088
AFC;;;"Droit fiscal international de la Suisse";"Vol. II";;;-;;Druckerzeugnis;"7 Bde.";"HB Steuerrecht";"LC 0114";Bern;"AFC, Division des affaires de droit fiscal international et de double imposition";2009;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;ignore
IFF;;;"IFF Forum für Steuerrecht (FStR) 2004";;;;1424-9855;0;Druckerzeugnis;0;Haupt-Bibliothek;"Z 150 1";"St. Gallen";"Institut für Finanzwissenschaft und Finanzrecht an der Universität St. Gallen";2004;Z;;;Zeitschriften;0;0;ignore
;;;"Intertax 1991";;;;0;0;Druckerzeugnis;"Europäische Steuerzeitung";"HB Steuerrecht";"Z 190 20";Deventer;Kluwer;1991;Z;;;Zeitschriften;0;0;ignore
;;;"Intertax 1977";;;;0;0;Druckerzeugnis;"Europäische Steuerzeitung";"HB Steuerrecht";"Z 190 06";Deventer;Kluwer;1977;Z;;;Zeitschriften;0;0;ignore
"Ivanka Endre";;;"Steuerliche Behandlung von Grund und Boden bei Änderung der Gewinnermittlungsart";;;;-;;Druckerzeugnis;"in: Bilanz und Rechnungswesen, S. 99 ff.";Haupt-Bibliothek;;;;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;notfound
;;;"Bulletin for International Fiscal Documentation (BIFD) 1996";;;;0007-4624;0;Druckerzeugnis;"Vol. 50- Official Journal of the International Fiscal Associaton";Haupt-Bibliothek;"Z 050";Amsterdam;IBFD;1996;Z;;;Zeitschriften;0;0;ignore
"Fischer Thomas";;;"Aktueller Steuerratgeber für Unternehmen und Selbständigerwerbende";"Bd. 4";;;-;;Druckerzeugnis;"7 Bde.";Haupt-Bibliothek;"PE 0162 04";Zürich;Weka;2001;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;unsafe
;;;"Wirtschaft und Recht 1987";;;;0;0;Druckerzeugnis;"39. Jg.- Zeitschrift für Wirtschaftspolitik und Wirtschaftsrecht mit Einschluss des Sozial- und Arbeitsrechts";Haupt-Bibliothek;"Z 330";Zürich;"Orell Füssli";1987;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer und Wirtschaft (StuW) 2003";;;;0341-2954;0;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";Köln;"Otto Schmidt";2003;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerische Aktiengesellschaft (SAG) 1987";;;;1018-7987;0;Druckerzeugnis;"59. Jg.- Zeitschrift für Handels- und Wirtschaftsrecht";"HB Steuerrecht";"Z 270";Zürich;Schulthess;1987;Z;;;Zeitschriften;0;0;ignore
"Plückebaum Konrad";"Malitzky Heinz";;Umsatzsteuergesetz;"Bd. I/2";;;3-452-16800-X;0;Druckerzeugnis;"(Mehrwertsteuer) mit Nebengesetzen und Verordnungen, Kommentar, 10. A.";"HB Steuerrecht";"QB 331 02";Köln;"Carl Heymanns";1992;QB;;;Verbrauchsteuern;Umsatzsteuer;0;ignore
;;;"MWSt-Journal 2001";;;;0;0;Druckerzeugnis;0;Haupt-Bibliothek;"Z 210";Bern;Stämpfli;2001;Z;;;Zeitschriften;0;0;ignore
;;;"Bulletin for International Fiscal Documentation (BIFD) 1998";;;;0007-4624;0;Druckerzeugnis;"Vol. 52- Official Journal of the International Fiscal Associaton";Haupt-Bibliothek;"Z 050";Amsterdam;IBFD;1998;Z;;;Zeitschriften;0;0;ignore
"Brandmüller Gerhard";;;"Die Betriebsaufspaltung nach Handels- und Steuerrecht";;;;0;165;Druckerzeugnis;"4. A.";Haupt-Bibliothek;"PE 0539";Heidelberg;"Recht und Wirtschaft";1980;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)024734055
"Suter Jürg";;;"Die Fusion von Aktiengesellschaften im Privatrecht und im Steuerrecht";;;;0;267;Druckerzeugnis;"Zürcher Beiträge zur Rechtswissenschaft, Heft 254";Haupt-Bibliothek;"PL 203";Zürich;"Schulthess & Co.";1966;PL;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Gewinnsteuer der Kapitalgesellschaften";0;found;;(DE-627)1072727250
"Krauer Hugo";;;"Steuerfolgen des Ausscheidens von Personengesellschaften und der Gesellschaftsveräusserung gegen Abfindung in Rentenform";;;;0;0;Druckerzeugnis;"in: Zusammenfassung der Referate des Kurses 'Steuerprobleme der Unternehmungen' am 25./26. März 1968 HSG";Haupt-Bibliothek;;;;;PH;PE;PK;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Ausserordentliches Einkommen-	Einkommen Selbständigerwerbender, Unternehmungsbesteuerung-	Besteuerung juristischer Personen, Kapitalgesellschaften";0;notfound
"Rosenberger Thomas";;;"Die steuerrechtlichen Probleme der Umwandlung einer Personen- in eine Kapitalgesellschaft";;;;0;130;Druckerzeugnis;0;Haupt-Bibliothek;"PE 0550";Winterthur;"Hans Schellenberg";1985;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1082660736
;;;"Archiv für Schweizerisches Abgaberecht (ASA) 67 (1998/99)";;;;1422-3481;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 030";Bern;Geiger;1999;Z;;;Zeitschriften;0;0;ignore
;;;"Archiv für Schweizerisches Abgaberecht (ASA) 57 (1988/89)";;;;1422-3481;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 030";Bern;Geiger;1989;Z;;;Zeitschriften;0;0;ignore
;;;"Archiv für Schweizerisches Abgaberecht (ASA) 48 (1979/80)";;;;1422-3481;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 030";Bern;Geiger;1980;Z;;;Zeitschriften;0;0;ignore
"Nobel Peter";;;"St.Galler Bankrechtstag 2009";;;;978-3-7272-8753-4;268;Druckerzeugnis;"Institutionengefüge zum Finanzmarkt";Haupt-Bibliothek;"WD 265";Bern;Stämpfli;2010;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;found;;(DE-627)1604693592
"Herold Hans";;;"Werturteile im Abgaberecht";;;;"3 7272 9220 2";179-203;Druckerzeugnis;"In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger";Haupt-Bibliothek;;Bern;Stämpfli;;JB;;;"Allgemeine Steuerrechtsliteratur";"Festschriften, Sammelwerke, Bibliographien";0;notfound
;;;"FDK-Informationen 021-044 (1975)";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"Z 125";Zug;;1975;Z;;;Zeitschriften;0;0;ignore
;;;"FDK-Informationen 021-044 (1973)";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"Z 125";Zug;;1973;Z;;;Zeitschriften;0;0;ignore
;;;"Der Schweizer Treuhänder (ST) 1993";;;;0;0;Druckerzeugnis;"Monatsschrift für Wirtschaftsprüfung, Rechnungswesen, Unternehmens- und Steuerberatung";"HB Steuerrecht";"Z 070";Zürich;Treuhand-Kammer;1993;Z;;;Zeitschriften;0;0;ignore
;;;"Bernische Verwaltungsrechtsprechung (BVR) 1990";;;;0;0;Druckerzeugnis;"Entscheide und Abhandlungen zum bernischen Verwaltungsrecht";"HB Steuerrecht";"Z 040";Bern;Geiger;1990;Z;;;Zeitschriften;0;0;ignore
;;;"FDK-Informationen 001-020 (1972)";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"Z 125";Zug;;1972;Z;;;Zeitschriften;0;0;ignore
;;;"FDK-Informationen 045-082 (1981)";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"Z 125";Zug;;1981;Z;;;Zeitschriften;0;0;ignore
;;;"Deutsches Steuerrecht (DStR) 1998 (2.Teil)";;;;0949-7676;0;Druckerzeugnis;"Zeitschrift für Praxis und Wissenschaft des gesamten Steuerrechtes- 18. Jg.";"HB Steuerrecht";"Z 090";München;"C.H. Beck";1998;Z;;;Zeitschriften;0;0;ignore
;;;"Deutsches Steuerrecht (DStR) 1996 (2.Teil)";;;;0949-7676;0;Druckerzeugnis;"Zeitschrift für Praxis und Wissenschaft des gesamten Steuerrechtes- 18. Jg.";"HB Steuerrecht";"Z 090";München;"C.H. Beck";1996;Z;;;Zeitschriften;0;0;ignore
;;;"Deutsches Steuerrecht (DStR) 1993";;;;0949-7676;0;Druckerzeugnis;"Zeitschrift für Praxis und Wissenschaft des gesamten Steuerrechtes- 18. Jg.";"HB Steuerrecht";"Z 090";München;"C.H. Beck";1993;Z;;;Zeitschriften;0;0;ignore
;;;"FDK-Informationen 083-115 (1990)";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"Z 125";Zug;;1990;Z;;;Zeitschriften;0;0;ignore
;;;"Internationales Steuerrecht (iStR) 2002";;;;0942-6744;0;Druckerzeugnis;"Monatsschrift für europäische und internationale Steuer- und Wirtschaftsberatung";"HB Steuerrecht";"Z 180";München;"C.H. Beck";2002;Z;;;Zeitschriften;0;0;ignore
;;;"Internationales Steuerrecht (iStR) 2003";;;;0942-6744;0;Druckerzeugnis;"Monatsschrift für europäische und internationale Steuer- und Wirtschaftsberatung";"HB Steuerrecht";"Z 180";München;"C.H. Beck";2003;Z;;;Zeitschriften;0;0;ignore
;;;"Gesetzgebungs-BULLETIN 1995";;;;1423-6982;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 140";Basel;"Helbing & Lichtenhahn";1995;Z;;;Zeitschriften;0;0;ignore
;;;"European Taxation (ET) 1997";;;;0014-3138;0;Druckerzeugnis;"Official Journal of the Confédération Fiscale Européenne- Vol. 10";Haupt-Bibliothek;"Z 120";Amsterdam;IBFD;1997;Z;;;Zeitschriften;0;0;ignore
"Fachinstitut der Steuerberater";;;"Steuerberater-Jahrbuch 2010/11";;;;978-3-504-62656-3;440;Druckerzeugnis;"zugleich Bericht über den 62. Fachkongress der Steuerberater Köln, 28. und 29. September 2010";Haupt-Bibliothek;"JB 136";Köln;"Otto Schmidt";2011;JB;;;"Allgemeine Steuerrechtsliteratur";"Festschriften, Sammelwerke, Bibliographien";0;ignore
;;;"Die neue Steuerpraxis (NStP) 1984/85";;;;0;0;Druckerzeugnis;"Monatsschrift für bernisches und eidgenössisches Steuerrecht";"HB Steuerrecht";"Z 100";Bern;"Paul Haupt";1985;Z;;;Zeitschriften;0;0;ignore
;;;"Revue de droit administratif et de droit fiscal (RDAF) 2001";;;;0;0;Druckerzeugnis;"24. Jg., Revue genevoise de droit public";"HB Steuerrecht";"Z 250";Lausanne;"Presses Centrales";2001;Z;;;Zeitschriften;0;0;ignore
;;;"Revue de droit administratif et de droit fiscal (RDAF) 1973";;;;0;0;Druckerzeugnis;"24. Jg., Revue genevoise de droit public";"HB Steuerrecht";"Z 250";Lausanne;"Presses Centrales";1973;Z;;;Zeitschriften;0;0;ignore
"Ritzmann Franz";;;"Die Schweizer Banken";"Geschichte - Theorie - Statistik";;;3.258.02038.8;373;Druckerzeugnis;"Habilitation der Uni Zürich, 1973";Haupt-Bibliothek;"AK 0246";Bern;"Paul Haupt";1973;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)189319038
;;;"Intertax 1994 & EC Tax Review 1994";;;;0;0;Druckerzeugnis;"Europäische Steuerzeitung";"HB Steuerrecht";"Z 190 23";Deventer;Kluwer;1994;Z;;;Zeitschriften;0;0;ignore
;;;"Intertax 2002 & EC Tax Review 2002";;;;0;0;Druckerzeugnis;"Europäische Steuerzeitung";"HB Steuerrecht";"Z 190 31";Deventer;Kluwer;2002;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 1985";;;;1422-0709;0;Druckerzeugnis;"68. Jg.";"HB Steuerrecht";"Z 280";Zürich;"Orell Füssli";1985;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 1973";;;;1422-0709;0;Druckerzeugnis;"68. Jg.";"HB Steuerrecht";"Z 280";Zürich;"Orell Füssli";1973;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 1979";;;;1422-0709;0;Druckerzeugnis;"68. Jg.";"HB Steuerrecht";"Z 280";Zürich;"Orell Füssli";1979;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerische Zeitschrift für Wirtschaftsrecht (SZW) 1999";;;;1018-7987;0;Druckerzeugnis;"63. Jg.- Zeitschrift für Handels- und Wirtschaftsrecht";"HB Steuerrecht";"Z 270";Zürich;Schulthess;1999;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 1999";;;;1422-0709;0;Druckerzeugnis;"68. Jg.";"HB Steuerrecht";"Z 280";Zürich;"Orell Füssli";1999;Z;;;Zeitschriften;0;0;ignore
"Gygax Daniel R.";;;"Die Mehrwertsteuererlasse des Bundes";"Bd. 1";;;978-3-905901-49-8;1044;Druckerzeugnis;"Allgemeine Erlasse 2010/2011 - Gesammelte MWST-Publikationen der Eidg. Steuerverwaltung";Haupt-Bibliothek;"HA 115 1.2";Stäfa;"Steuern und Recht";2011;HA;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Steuergesetzgebung (Bund, einzelne Kantone)";0;found;;(DE-101)100902759X
;;;"Steuer Revue (StR) 1966";;;;1424-0025;0;Druckerzeugnis;"Die unabhängige Fachzeitschrift für das gesamte Steuerwesen";"HB Steuerrecht";"Z 290";Bern;Cosmos;1966;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer Revue (StR) 1958";;;;1424-0025;0;Druckerzeugnis;"Die unabhängige Fachzeitschrift für das gesamte Steuerwesen";"HB Steuerrecht";"Z 290";Bern;Cosmos;1958;Z;;;Zeitschriften;0;0;ignore
;;;"Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 1995";;;;1422-0709;0;Druckerzeugnis;"68. Jg.";"HB Steuerrecht";"Z 280";Zürich;"Orell Füssli";1995;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer Revue (StR) 1986";;;;1424-0025;0;Druckerzeugnis;"Die unabhängige Fachzeitschrift für das gesamte Steuerwesen";"HB Steuerrecht";"Z 290";Bern;Cosmos;1986;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer und Wirtschaft (StuW) 1974";;;;0341-2954;0;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";München;"J. F. Bergmann";1974;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer und Wirtschaft (StuW) 1969";;;;0341-2954;0;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";München;"J. F. Bergmann";1969;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer Revue (StR) 2002";;;;1424-0025;0;Druckerzeugnis;"Die unabhängige Fachzeitschrift für das gesamte Steuerwesen";"HB Steuerrecht";"Z 290";Bern;Cosmos;2002;Z;;;Zeitschriften;0;0;ignore
;;;"Bulletin for International Fiscal Documentation (BIFD) 1994";;;;0007-4624;0;Druckerzeugnis;"Vol. 48- Official Journal of the International Fiscal Associaton";Haupt-Bibliothek;"Z 050";Amsterdam;IBFD;1994;Z;;;Zeitschriften;0;0;ignore
;;;"Bulletin for International Fiscal Documentation (BIFD) 1986";;;;0007-4624;0;Druckerzeugnis;"Vol. 40- Official Journal of the International Fiscal Associaton";Haupt-Bibliothek;"Z 050";Amsterdam;IBFD;1986;Z;;;Zeitschriften;0;0;ignore
;;;"Bulletin for International Fiscal Documentation (BIFD) 1975";;;;0007-4624;0;Druckerzeugnis;"Vol. 29- Official Journal of the International Fiscal Associaton";Haupt-Bibliothek;"Z 050";Amsterdam;IBFD;1975;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer und Wirtschaft (StuW) 1991";;;;0341-2954;0;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";München;"J. F. Bergmann";1991;Z;;;Zeitschriften;0;0;ignore
;;;"Steuer und Wirtschaft (StuW) 1993";;;;0341-2954;0;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";München;"J. F. Bergmann";1993;Z;;;Zeitschriften;0;0;ignore
;;;"Internationales Steuerrecht (iStR) 2004";;;;0942-6744;876;Druckerzeugnis;"Monatsschrift für europäische und internationale Steuer- und Wirtschaftsberatung";"HB Steuerrecht";"Z 180";München;"C.H. Beck";2004;Z;;;Zeitschriften;0;0;ignore
"Steuerverwaltung des Kantons Luzern";;;"Luzerner Steuerbuch + Steuerentscheide des Kantons Luzern (CD-ROM)";;;;-;;CD-ROM/DVD;"Die CD liegt ebenfalls für alle zugänglich auf dem Nyad/Volumes (IFF CD-ROM auf Nyad/Volumes [H]) Server und muss vor der ersten Benutzung von jedem Mitarbeiter selbst installiert werden. Eine Anleitung dazu liegt unter Q:\IFF\Verschiedenes\Bibliothek\Administratives bereit. Alternativ kann durch Eingabe von '\\130.82.89.113\iff' im Laufwerkbrowser der H-Server temporär aufgerufen werden.";Haupt-Bibliothek;"HB 203 1.1";Luzern;Lifa;2006;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
;;;"Steuer und Wirtschaft (StuW) 2013";;;;0341-2954;384;Druckerzeugnis;"Zeitschrift für die gesamten Steuerwissenschaften";"HB Steuerrecht";"Z 300";Köln;"Otto Schmidt";2013;Z;;;Zeitschriften;0;0;ignore
"Bundesamt für Statistik";;;"Statistisches Jahrbuch der Schweiz 2012";;;;411-1200-01;;CD-ROM/DVD;0;Haupt-Bibliothek;"YG 012 2";Zürich;"Neue Zürcher Zeitung";2012;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;ignore
"Zattler Peter";;;"Steuerliche Aspekte des Technologietransfers in mutlinationalen Unternehmungen";;;;3-258-04055-9;345;Druckerzeugnis;"Schriftenreihe Finanzwirtschaft und Finanzrecht, Bd. 54";Haupt-Bibliothek;"LC 0695 2";Bern;"Paul Haupt";1989;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)272226149
OECD;;;"Transfer Pricing and Multinational Enterprises. Three Taxation Issues";;;;92-64-12626-0;91;Druckerzeugnis;"Report of the OECD Committee on Fiscal Affairs 1984";Haupt-Bibliothek;"LC 0677 1";Paris;OECD;1984;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)022113002
"Rasch Harold";;;"Reichen die Vorschriften des Steuerrechts - unter Berücksichtigung des Gesellschaftsrechts - aus-um Vermögensbewegungen zwischen verbundenen Unternehmen vollständig und befriedigend zu regeln?";;;;-;77;Druckerzeugnis;"Gutachten zum 49. Deutschen Juristentag";Haupt-Bibliothek;"PN 208";München;"C.H. Beck";1972;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)1601649991
"Grüninger Harold";;;"Die Domizil--Verwaltungs- und gemischte Gesellschaften nach der Steuerharmonisierung";;;;0;0;Druckerzeugnis;"Information Nr. 89, S. 10 ff.";Separata;"PN Sep. 02";Basel;"Internationale Treuhand";1991;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;notfound
"Stadler Peter";;;"Die Besteuerung der Basisgesellschaften in der Schweiz";;;;-;205;Druckerzeugnis;"Diss.-Nr. 348 der Uni St.Gallen";Haupt-Bibliothek;"PN 203";Winterthur;"Hans Schellenberg";1970;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)1146874634
"Arthur Young International Europe";;;"Loan versus Equity";;;;0;17;Druckerzeugnis;"Tax Brief No. 3, November 1987";Separata;"PM Sep. 02";London;"Arthur Young";1987;PM;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Kapitalsteuer der Kapitalgesellschaften";0;notfound
"Schmidt Gerhard";;;"Das Kapital und seine Besteuerung";;;;-;220;Druckerzeugnis;"Volkswirtschaftliche Schriften, Heft 40";Haupt-Bibliothek;"PJ 106";Berlin;"Duncker & Humblot";1959;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;found;;(DE-627)1071244353
;;;"European Taxation Journal (ET) 1999 ff.";;;;-;;Online-Publikation;"http://www.ibfd.org/ 'Tax Research Platform' anklicken und dann einloggen (auf 'Log on')";Internet;"Z 120";Amsterdam;IBFD;online;Z;;;Zeitschriften;0;0;ignore
"Schwarz Jörg";"Wyl von Walter";;"Der Finanzplatz Schweiz im internationalen Umfeld";;;;0;39;Druckerzeugnis;"in: Beiträge zum schweizerischen Bankenrecht, S. 29-68";Separata;"RA Sep. 02";Bern;Stämpfli;1987;RA;;;"Uebrige Steuern";"Stempelabgabe, Wertpapier-Umsatzsteuer";0;notfound
"Bühler Otto C.";;;"Das Postulat der Besteuerung der öffentlichen Unternehmungen der Kantone und Gemeinden durch den Bund";;;;-;74;Druckerzeugnis;"Diss. der Uni Bern";Haupt-Bibliothek;"PN 101";Zürich;Juris;1957;"PN 101";;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)303515341
"Zülow Kurt";"Henze Max";"Schubert Rolf";"Die Besteuerung der Genossenschaften";;;;-;319;Druckerzeugnis;"5. A.";Haupt-Bibliothek;"PN 301";Berlin;"Franz Vahlen GmbH";1966;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)190875453
"Société Privée de Gérance";;;"Les Sociétés Immobilières";;;;-;49;Druckerzeugnis;"Quelques aspects juridiques et fiscaux intéressant- les accquéreurs et détenteurs d'action de sociétés immobilières";"HB Steuerrecht";"PN 503";Genf;"Société Privéö de Gérance";1972;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)431222398
